Track name,Artist name,Album,Playlist name,Type,ISRC
"Alice Francis - Shoot Him down!  (Official Video) (Break his neck, neck, neck, neck)","","","Muasicas do Kuduairo","Playlist",""
"Red Hot Chili Peppers - Scar Tissue [Official Music Video] [HD UPGRADE]","","","Muasicas do Kuduairo","Playlist",""
"Burn The Ballroom - Kiss Me You Animal","","","Muasicas do Kuduairo","Playlist",""
"Biffe - Encanto (prod. Lee Beats)","","","Muasicas do Kuduairo","Playlist",""
"Rich Brian - Sydney (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"SAY SO x VIDA LOUCA | LEOD MASHUP","","","Muasicas do Kuduairo","Playlist",""
"Panic! At The Disco: The Ballad Of Mona Lisa [OFFICIAL VIDEO]","","","Muasicas do Kuduairo","Playlist",""
"Paramore: Misery Business [OFFICIAL VIDEO]","","","Muasicas do Kuduairo","Playlist",""
"Sum 41 - Fatlip (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Bella Poarch - Build a B*tch (Tradução/Legendado) [Clipe Oficial]","","","Muasicas do Kuduairo","Playlist",""
"Mc Marcinho · Mc Marcinho · Mc Marcinho - Glamurosa","","","Muasicas do Kuduairo","Playlist",""
"DYES IWASAKI - BAD HATTER feat.リリィミズサキ [#ElectroSwing]","","","Muasicas do Kuduairo","Playlist",""
"DESCOBRIDOR DOS SETE POZES | LEOD","","","Muasicas do Kuduairo","Playlist",""
"Gorillaz - Feel Good Inc. (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"CORDEIRO DE NANA / Os Tincoas","","","Muasicas do Kuduairo","Playlist",""
"Miki Matsubara - 真夜中のドア / Stay with me [Tradução em PT-BR].","","","Muasicas do Kuduairo","Playlist",""
"MC POZE NOS ANOS 90","","","Muasicas do Kuduairo","Playlist",""
"Lil Nas X, Jack Harlow - INDUSTRY BABY (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"Willie Nelson - On The Road Again (Official Audio)","","","Muasicas do Kuduairo","Playlist",""
"BARRACO GROOVIN | LEOD","","","Muasicas do Kuduairo","Playlist",""
"DINGO - Eu Vim Passear  (Clipe Oficial)","","","Muasicas do Kuduairo","Playlist",""
"Gucci Mane, Bruno Mars, Kodak Black - Wake Up in The Sky [Official Music Video]","","","Muasicas do Kuduairo","Playlist",""
"Bruno Mars, Anderson .Paak, Silk Sonic - Smokin Out The Window [Official Music Video]","","","Muasicas do Kuduairo","Playlist",""
"Bruno Mars - Finesse (Remix) (feat. Cardi B) (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Bruno Mars - That’s What I Like [Official Music Video]","","","Muasicas do Kuduairo","Playlist",""
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]","","","Muasicas do Kuduairo","Playlist",""
"竹内まりや -  Plastic Love (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Imagine Dragons · JID · Arcane · League Of Legends - Enemy (from the series Arcane League of Legends)","","","Muasicas do Kuduairo","Playlist",""
"Denzel Curry, Gizzle, Bren Joy - Dynasties & Dystopia | Arcane League of Legends | Riot Games Music","","","Muasicas do Kuduairo","Playlist",""
"SINCRONIZADAMENTE","","","Muasicas do Kuduairo","Playlist",""
"FEEL THIS AOM MOMENT","","","Muasicas do Kuduairo","Playlist",""
"Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"Elton John - Crocodile Rock","","","Muasicas do Kuduairo","Playlist",""
"Elton John - Saturday Night's Alright (For Fighting)","","","Muasicas do Kuduairo","Playlist",""
"David Bowie - Starman","","","Muasicas do Kuduairo","Playlist",""
"David Bowie - Let's Dance (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"Grover Washington Jr. - Just the Two of Us (feat. Bill Withers) (Official Lyric Video)","","","Muasicas do Kuduairo","Playlist",""
"The Jacksons - Blame It On the Boogie (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"The Police - Every Breath You Take (Official Music Video)","","","Muasicas do Kuduairo","Playlist",""
"Yung Lean - Violence + Pikachu (Official Video)","","","Muasicas do Kuduairo","Playlist",""
"salve essa música para ouvir no natal com sua família","","","Muasicas do Kuduairo","Playlist",""
"MARLBORO POZE | LEOD","","","Muasicas do Kuduairo","Playlist",""
"DON'T START MOSTRA O PEITIN NOW 🤭🤭🤭","","","Muasicas do Kuduairo","Playlist",""
"Bruno Mars, Anderson .Paak, Silk Sonic - Skate [Official Music Video]","","","Muasicas do Kuduairo","Playlist",""
"Anderson .Paak - Fire in the Sky (Official Audio) | Shang-Chi: The Album","","","Muasicas do Kuduairo","Playlist",""
"REI DO KUDURO NOS ANOS 80 (HOJE É MEU ANIVERSUAIRO) | LEOD","","","Muasicas do Kuduairo","Playlist",""
"Anderson .Paak - Lockdown","","","Muasicas do Kuduairo","Playlist",""
